timestamp,signal,confidence,price,position_ratio,cumulative_return,benchmark_return
1617476400000,1,1.0,58054.15,0.24825881660980356,-0.0023162006135464255,-0.00926480245418539
1617480000000,1,1.0,57631.28,0.4343970421172767,-0.005486106180100251,-0.016481378581580265
1617483600000,1,1.0,57556.75,0.5754816708203474,-0.006226655006299916,-0.017753285831502767
1617487200000,1,1.0,57051.94,0.6796964230988449,-0.012167603430659802,-0.026368226108349473
1617490800000,1,1.0,56600.0,0.758317733965964,-0.018112948897208297,-0.03408090238005198
1617494400000,1,1.0,56933.46,0.8196084394803743,-0.01337670613677692,-0.028390171244144786
1617498000000,1,1.0,57363.48,0.865584219350762,-0.0069329205691989046,-0.021051575301414504
1617501600000,1,1.0,57492.42,0.8993915113318801,-0.004925763577386897,-0.018851122855352464
1617505200000,1,1.0,57547.52,0.9246104339914798,-0.004044057359195176,-0.017910802320390315
1617508800000,1,1.0,57477.08,0.9433924538272797,-0.005194209661561763,-0.019112910822799225
1617512400000,1,1.0,57439.98,0.9575180835456069,-0.005809069902805095,-0.019746048605868108
1617516000000,1,1.0,57614.52,0.9682320187967091,-0.0028843249001625736,-0.016767399855009812
1617519600000,1,1.0,57429.84,0.9760992269259278,-0.006004368794628499,-0.019919094889434764
1617523200000,1,1.0,57686.35,0.9821527060801662,-0.0016442776379139105,-0.015541570017871249
1617526800000,1,1.0,57708.05,0.9866194955595688,-0.0012737509522881738,-0.015171244144755399
1617530400000,1,1.0,57275.55,0.9898896085273436,-0.008683710742091535,-0.02255216304441313
1617534000000,1,1.0,57755.08,0.992479691493688,-0.0004470146530951752,-0.01436864387689206
1617537600000,1,1.0,58128.14,0.994395764139738,0.005973027230294247,-0.0080021106868197
1617541200000,1,1.0,58130.99,0.9957970283087149,0.006022142383853861,-0.007953473417769957
1617544800000,1,1.0,57918.11,0.9968362217625006,0.0023496278425891434,-0.011586421430160983
1617548400000,1,1.0,58030.89,0.9976317668789867,0.004296803847922092,-0.009661750832465283
1617552000000,1,1.0,58179.03,0.9982283397820719,0.006855997329103775,-0.007133636784383683
1617555600000,1,1.0,58102.92,0.9986695166065037,0.005540575160499793,-0.008432507853639068
1617559200000,1,1.0,57953.86,0.9989995734740463,0.0029634875953726803,-0.010976322353484072
1617562800000,1,1.0,58025.11,0.9992506007453987,0.004195632093940548,-0.009760390627239879
1617566400000,1,1.0,58116.69,0.9994388357368402,0.005779645420925044,-0.008197513048440647
1617570000000,1,1.0,58129.22,0.9995792174854597,0.005996400968027956,-0.007983679721706074
1617573600000,1,1.0,58202.01,0.9996848076765672,0.0072557223336045355,-0.006741466804466554
1617577200000,1,1.0,57908.13,0.9997624063570301,0.0021709780769508143,-0.011756737200377416
1617580800000,1,1.0,57787.88,0.9998214340299922,9.027566750646656e-05,-0.013808888640108843
1617584400000,1,1.0,57595.45,0.999865628132565,-0.0032395159485380646,-0.017092842914932287
1617588000000,1,1.0,57467.12,0.9998989960724859,-0.005460201468982996,-0.01928288527884682
1617591600000,1,1.0,57284.99,0.9999240062262608,-0.00861194827578729,-0.022391062756753632
1617595200000,1,1.0,56897.45,0.9999426164852898,-0.015318428067707645,-0.029004707405015744
1617598800000,1,1.0,57143.59,0.9999571477361112,-0.011058850685871766,-0.024804153929959678
1617602400000,1,1.0,57250.0,0.9999679205369715,-0.009217352005320026,-0.02298819189501724
1617606000000,1,1.0,57149.25,0.9999758979884188,-0.010960914452899852,-0.02470756202019762
1617609600000,1,1.0,57539.15,0.999982045980162,-0.004213330387020869,-0.018053642300020604
1617613200000,1,1.0,57668.98,0.9999865647995871,-0.0019664907577611303,-0.015838001373448176
1617616800000,1,1.0,57756.36,0.9999899388441932,-0.0004542862885095019,-0.014346799770090781
1617620400000,1,1.0,57959.23,0.999992480545133,0.0030566051320385667,-0.010884679499169202
1617624000000,1,1.0,58113.06,0.9999943753372226,0.005718809708901063,-0.008259461570072535
1617627600000,1,1.0,59170.68,0.9999958569042544,0.02402216252567905,0.009789572988669724
1617631200000,1,1.0,59018.29,0.9999968846548595,0.02138487236022156,0.007188929679724437
1617634800000,1,1.0,58983.51,0.9999976621134106,0.020782962632591443,0.006595384340232905
1617638400000,1,1.0,58954.6,0.9999982457252244,0.020282640022001395,0.006102014709275377
1617642000000,1,1.0,58876.29,0.9999986825439302,0.018927389907211364,0.004765599081455309
1617645600000,1,1.0,59005.2,0.9999990140666527,0.021158335505976355,0.006965539556264211
1617649200000,1,1.0,58770.61,0.9999992575983875,0.017098466938655656,0.0029620950136730407
1617652800000,1,1.0,58664.04,0.9999994421872974,0.015254141632711798,0.0011434024653805038
1617656400000,1,1.0,58877.18,0.9999995831549667,0.01894279275899371,0.004780787561965577
1617660000000,1,1.0,59129.99,0.9999996887028889,0.023317982720592954,0.00909516931230651
1617663600000,1,1.0,59356.23,0.999999767417063,0.027233346250303294,0.01295611518943623
1617667200000,1,1.0,58800.01,0.9999998239127049,0.017607269388892927,0.003463826841765406
1617670800000,1,1.0,58745.27,0.9999998678114674,0.0166599257648053,0.0025296499618410063
