timestamp,action,confidence,price,position,equity
1617390000000.0,0,0.45295793,58850.0,0,10000.0
1617393600000.0,1,0.3031266,58670.64,1,10000.0
1617397200000.0,0,0.32996354,58739.13,1,9908.567544604926
1617400800000.0,0,0.30765614,58816.21,1,9943.48173322005
1617404400000.0,2,0.3409113,58950.01,1,9982.774851316906
1617408000000.0,2,0.30058467,59387.13,1,10050.982158028888
1617411600000.0,3,0.34493047,59254.98,0,10273.81308411215
1617415200000.0,1,0.26379162,59408.2,1,10273.81308411215
1617418800000.0,2,0.26623586,59221.53,1,10353.510367315059
1617422400000.0,1,0.33671317,59394.92,1,10256.414088399202
1617426000000.0,2,0.5051339,59466.37,1,10346.602783964749
1617429600000.0,3,0.36673495,59410.96,0,10383.76745492708
1617433200000.0,0,0.2831319,59298.85,0,10383.76745492708
1617436800000.0,3,0.31144506,59028.65,0,10383.76745492708
1617440400000.0,3,0.5287166,59423.9,0,10383.76745492708
1617444000000.0,0,0.33068663,59338.14,0,10383.76745492708
1617447600000.0,0,0.42491698,59255.02,0,10383.76745492708
1617451200000.0,0,0.44917664,59254.76,0,10383.76745492708
1617454800000.0,0,0.46052787,59414.8,0,10383.76745492708
1617458400000.0,0,0.46663147,59144.38,0,10383.76745492708
1617462000000.0,3,0.3607589,58829.99,0,10383.76745492708
1617465600000.0,0,0.33389837,58809.74,0,10383.76745492708
1617469200000.0,1,0.36598608,58210.13,1,10383.76745492708
1617472800000.0,2,0.39599046,58455.36,1,10066.156249522219
1617476400000.0,0,0.31712565,58597.04,1,10196.053676018499
1617480000000.0,2,0.3076005,58054.15,1,10271.101049447496
1617483600000.0,2,0.3116681,57631.28,1,9983.534218837192
1617487200000.0,2,0.34441465,57556.75,0,9759.541539546395
1617490800000.0,0,0.29250312,57051.94,0,9759.541539546395
1617494400000.0,3,0.7751729,56600.0,0,9759.541539546395
1617498000000.0,3,0.45500705,56933.46,0,9759.541539546395
1617501600000.0,1,0.27332333,57363.48,1,9759.541539546395
1617505200000.0,2,0.4418036,57492.42,1,9980.683802084232
1617508800000.0,2,0.42989138,57547.52,1,10046.992539658359
1617512400000.0,2,0.33605945,57477.08,1,10075.32828838129
1617516000000.0,2,0.37430087,57439.98,1,10039.103784932231
1617519600000.0,2,0.43773448,57614.52,1,10020.024723632401
1617523200000.0,2,0.465397,57429.84,1,10109.783736011714
1617526800000.0,2,0.39647827,57686.35,1,10014.810123050718
1617530400000.0,0,0.34648204,57708.05,1,10146.723061434004
1617534000000.0,2,0.4454206,57275.55,1,10157.882512382963
1617537600000.0,2,0.37961343,57755.08,1,9935.464884022393
1617541200000.0,2,0.5308126,58128.14,1,10182.068179577871
1617544800000.0,3,0.3903462,58130.99,0,10373.918169025717
1617548400000.0,2,0.38298476,57918.11,-1,10373.918169025717
1617552000000.0,0,0.37325147,58030.89,-1,10487.888343961093
1617555600000.0,0,0.39250162,58179.03,-1,10427.508992546156
1617559200000.0,0,0.37086803,58102.92,-1,10348.198856718805
1617562800000.0,2,0.3237643,57953.86,-1,10388.946085271658
1617566400000.0,2,0.41181713,58025.11,-1,10468.748764132364
1617570000000.0,3,0.47056162,58116.69,-1,10430.603447690493
1617573600000.0,1,0.2786325,58129.22,-1,10381.574000957207
1617577200000.0,1,0.30401134,58202.01,-1,10374.86577899206
1617580800000.0,1,0.3306094,57908.13,-1,10335.895988342183
1617584400000.0,2,0.3102621,57787.88,-1,10493.231365127267
1617588000000.0,1,0.37897378,57595.45,-1,10557.609951823899
1617591600000.0,1,0.32364663,57467.12,-1,10660.631751724379
1617595200000.0,0,0.32249355,57284.99,-1,10729.336151148733
1617598800000.0,0,0.2707384,56897.45,-1,10826.843610567093
1617602400000.0,1,0.27803475,57143.59,-1,11034.322009639132
1617606000000.0,4,0.2797517,57250.0,0,10902.54533330226
1617609600000.0,3,0.27441636,57149.25,0,10902.54533330226
1617613200000.0,0,0.27481702,57539.15,0,10902.54533330226
1617616800000.0,0,0.31012383,57668.98,0,10902.54533330226
1617620400000.0,0,0.31584767,57756.36,0,10902.54533330226
1617624000000.0,0,0.26372954,57959.23,0,10902.54533330226
1617627600000.0,1,0.3079006,58113.06,1,10902.54533330226
1617631200000.0,3,0.41434574,59170.68,0,10989.354900059194
1617634800000.0,4,0.28877974,59018.29,0,10989.354900059194
1617638400000.0,4,0.3711317,58983.51,0,10989.354900059194
1617642000000.0,4,0.30094892,58954.6,0,10989.354900059194
1617645600000.0,0,0.36132863,58876.29,0,10989.354900059194
1617649200000.0,0,0.42136246,59005.2,0,10989.354900059194
1617652800000.0,0,0.46033013,58770.61,0,10989.354900059194
1617656400000.0,0,0.43318456,58664.04,0,10989.354900059194
1617660000000.0,3,0.5133893,58877.18,0,10989.354900059194
1617663600000.0,3,0.42986697,59129.99,0,10989.354900059194
1617667200000.0,3,0.34832385,59356.23,0,10989.354900059194
1617670800000.0,0,0.41169316,58800.01,0,10989.354900059194
1617674400000.0,0,0.4163931,58745.27,0,10989.354900059194
1617678000000.0,0,0.40981725,58608.7,0,10989.354900059194
1617681600000.0,0,0.4017005,58794.93,0,10989.354900059194
1617685200000.0,3,0.44478595,58867.32,0,10989.354900059194
1617688800000.0,3,0.2845301,58843.53,0,10989.354900059194
1617692400000.0,3,0.36199778,58576.59,0,10989.354900059194
1617696000000.0,1,0.34837782,58487.37,1,10989.354900059194
1617699600000.0,1,0.25699884,58685.53,1,10939.140117454921
1617703200000.0,4,0.2802308,58365.0,1,11050.668489130143
1617706800000.0,3,0.30828518,58541.34,0,10870.267858462705
1617710400000.0,3,0.39862868,58471.92,0,10870.267858462705
1617714000000.0,3,0.41450533,58414.29,0,10870.267858462705
1617717600000.0,3,0.3809135,57949.27,0,10870.267858462705
1617721200000.0,1,0.27798787,57818.53,1,10870.267858462705
1617724800000.0,2,0.40440148,58077.51,1,10796.694257631389
1617728400000.0,2,0.5525711,58247.17,1,10942.434590683972
1617732000000.0,2,0.42734125,58238.78,1,11037.910322036589
1617735600000.0,2,0.34563613,58225.0,1,11033.188870981252
1617739200000.0,3,0.3924517,58211.84,0,11025.434211202642
1617742800000.0,3,0.60739636,57860.63,0,11025.434211202642
1617746400000.0,2,0.2852433,57887.24,-1,11025.434211202642
1617750000000.0,4,0.47083202,57991.15,0,11010.222478923191
1617753600000.0,2,0.26876706,57639.29,-1,11010.222478923191
1617757200000.0,0,0.3218081,57510.84,-1,11210.635311645112
1617760800000.0,4,0.35033196,57784.7,0,11283.798013751437
1617764400000.0,0,0.3520012,57922.75,0,11283.798013751437
1617768000000.0,0,0.3489667,57645.61,0,11283.798013751437
1617771600000.0,2,0.29364407,58285.99,-1,11283.798013751437
1617775200000.0,1,0.28826082,58059.53,-1,10907.74586136484
1617778800000.0,0,0.3344041,57850.57,-1,11040.730605469073
1617782400000.0,0,0.3163162,57749.03,-1,11163.438775247492
1617786000000.0,0,0.34175974,57466.61,-1,11223.066395649963
1617789600000.0,0,0.30850682,56787.52,-1,11388.91268828406
1617793200000.0,3,0.31455335,56320.47,-1,11787.696623079364
1617796800000.0,3,0.3572783,56463.22,-1,12061.963711014901
1617800400000.0,3,0.41462818,56756.66,-1,11978.136226157181
1617804000000.0,3,0.2694736,56660.0,-1,11805.81862786191
1617807600000.0,2,0.34353104,56451.45,-1,11862.58055210953
1617811200000.0,2,0.3523042,56587.44,-1,11985.047956432318
1617814800000.0,0,0.28500453,56050.54,-1,11905.19016542845
1617818400000.0,0,0.29275447,55859.13,-1,12220.47546574446
1617822000000.0,0,0.29511586,56153.83,-1,12332.877699556133
1617825600000.0,0,0.3556672,56249.99,-1,12159.820187909405
1617829200000.0,0,0.3320393,56205.73,-1,12103.351880071099
1617832800000.0,0,0.36743078,56452.88,-1,12129.342804623131
1617836400000.0,0,0.43495038,55953.45,-1,11984.208213501694
1617840000000.0,0,0.37941954,56429.2,-1,12277.489900104083
1617843600000.0,0,0.31418306,56504.14,-1,11998.113886646568
1617847200000.0,2,0.2935805,56497.45,-1,11954.106659219333
1617850800000.0,0,0.33670264,56540.62,-1,11958.03524677589
1617854400000.0,0,0.3981079,56920.01,-1,11932.684405996146
1617858000000.0,1,0.3834879,56871.9,-1,11709.89414694066
1617861600000.0,2,0.34413055,57125.99,-1,11738.145917844373
1617865200000.0,3,0.29213738,57025.71,-1,11588.935930961727
1617868800000.0,3,0.34779152,56893.04,-1,11647.82363801274
1617872400000.0,3,0.4937647,56676.26,-1,11725.73181605879
1617876000000.0,2,0.34631744,56738.09,-1,11853.0321464788
1617879600000.0,0,0.32784054,56421.18,-1,11816.723541303654
1617883200000.0,2,0.39356598,57472.09,-1,12002.823493851882
1617886800000.0,2,0.3406351,57437.92,-1,11385.694652438036
1617890400000.0,1,0.4169771,57688.36,-1,11405.760397850212
1617894000000.0,0,0.27285713,57768.13,-1,11258.693810755516
1617897600000.0,0,0.3038479,57722.47,-1,11211.85024881436
1617901200000.0,0,0.4446683,57749.09,-1,11238.663299312457
1617904800000.0,3,0.2885937,57899.98,-1,11223.031161680849
1617908400000.0,0,0.28944156,57734.94,-1,11134.423601679573
1617912000000.0,3,0.27938083,57674.17,-1,11231.340506064289
1617915600000.0,0,0.38417262,57669.7,-1,11267.026644451707
1617919200000.0,0,0.44809073,57916.29,-1,11269.65157515093
1617922800000.0,0,0.42463028,58077.52,-1,11124.845834407915
1617926400000.0,0,0.3590606,58301.72,-1,11030.166287062135
1617930000000.0,3,0.37276918,57978.35,-1,10898.508689127977
1617933600000.0,3,0.29193863,57903.35,-1,11088.402165684483
1617937200000.0,0,0.37177366,57985.71,-1,11132.444627080833
1617940800000.0,0,0.36697364,58192.77,-1,11084.080132139454
1617944400000.0,0,0.28336617,57947.67,-1,10962.48770471641
1617948000000.0,3,0.2674347,57830.0,-1,11106.418468559683
1617951600000.0,0,0.3519159,58051.42,-1,11175.518154326464
1617955200000.0,0,0.38201064,57740.13,-1,11045.493063628064
1617958800000.0,0,0.42090812,57911.45,-1,11228.292767735666
1617962400000.0,0,0.4128182,58633.03,-1,11127.688041250029
1617966000000.0,0,0.30360562,58527.19,0,10703.952583991646
1617969600000.0,0,0.44726744,58504.18,0,10703.952583991646
1617973200000.0,0,0.43522817,58390.15,0,10703.952583991646
1617976800000.0,0,0.4765569,58358.48,0,10703.952583991646
1617980400000.0,0,0.46653923,58240.0,0,10703.952583991646
1617984000000.0,0,0.44427148,58207.56,0,10703.952583991646
1617987600000.0,0,0.43869078,58405.08,0,10703.952583991646
1617991200000.0,0,0.40155602,58381.84,0,10703.952583991646
1617994800000.0,0,0.4012832,58370.59,0,10703.952583991646
1617998400000.0,0,0.39926553,58331.66,0,10703.952583991646
1618002000000.0,0,0.38961196,58361.24,0,10703.952583991646
1618005600000.0,0,0.43790442,58086.38,0,10703.952583991646
1618009200000.0,3,0.40319106,58142.54,0,10703.952583991646
1618012800000.0,3,0.33661658,58109.08,0,10703.952583991646
1618016400000.0,3,0.38021097,58413.52,0,10703.952583991646
1618020000000.0,3,0.34660545,58721.55,0,10703.952583991646
1618023600000.0,0,0.39316264,59229.5,0,10703.952583991646
1618027200000.0,3,0.33036312,61074.09,0,10703.952583991646
1618030800000.0,4,0.3476406,60851.92,0,10703.952583991646
1618034400000.0,4,0.64998883,60576.8,0,10703.952583991646
1618038000000.0,0,0.3286286,60480.4,0,10703.952583991646
1618041600000.0,0,0.57315975,60534.89,0,10703.952583991646
1618045200000.0,0,0.49149457,60772.73,0,10703.952583991646
1618048800000.0,3,0.42037153,60659.02,0,10703.952583991646
1618052400000.0,3,0.7610798,60575.94,0,10703.952583991646
1618056000000.0,3,0.63088447,60088.62,0,10703.952583991646
1618059600000.0,3,0.5173805,60465.89,0,10703.952583991646
1618063200000.0,3,0.5335628,60398.19,0,10703.952583991646
1618066800000.0,0,0.3620684,60247.26,0,10703.952583991646
1618070400000.0,3,0.31366852,60265.0,0,10703.952583991646
1618074000000.0,3,0.38585833,60100.48,0,10703.952583991646
1618077600000.0,3,0.39888424,60020.0,0,10703.952583991646
1618081200000.0,3,0.42207515,59567.38,0,10703.952583991646
1618084800000.0,0,0.4566091,58615.28,0,10703.952583991646
1618088400000.0,0,0.35110858,59161.03,0,10703.952583991646
1618092000000.0,1,0.35370636,59029.17,1,10703.952583991646
1618095600000.0,2,0.31458396,59769.13,1,10632.380646126881
1618099200000.0,3,0.36131686,60148.5,0,11034.021561813295
1618102800000.0,3,0.6404356,60594.67,0,11034.021561813295
1618106400000.0,3,0.6813753,60509.7,0,11034.021561813295
1618110000000.0,3,0.428438,60268.58,0,11034.021561813295
1618113600000.0,2,0.33315155,59906.6,-1,11034.021561813295
1618117200000.0,3,0.3285021,59679.97,-1,11232.836356766746
1618120800000.0,2,0.43608406,59735.0,-1,11357.311181288265
1618124400000.0,2,0.3682952,59655.49,-1,11327.08636730327
1618128000000.0,1,0.37367922,59961.81,-1,11370.756637336834
1618131600000.0,4,0.35454056,59676.2,0,11202.512679134337
1618135200000.0,3,0.4072254,59599.99,0,11202.512679134337
1618138800000.0,3,0.60535264,59721.84,0,11202.512679134337
1618142400000.0,2,0.33135185,59724.45,-1,11202.512679134337
1618146000000.0,0,0.27471063,59340.55,-1,11201.04394216512
1618149600000.0,1,0.39406872,59570.77,-1,11417.077705568237
1618153200000.0,0,0.44146094,59645.46,-1,11287.524975662884
1618156800000.0,0,0.36615667,59569.4,-1,11245.494338026574
1618160400000.0,1,0.37189543,59864.39,-1,11288.295921888102
1618164000000.0,1,0.31225556,59865.0,-1,11122.294880298403
1618167600000.0,1,0.34119448,59705.53,-1,11121.951612271114
1618171200000.0,0,0.2630136,59707.8,-1,11211.69087835576
1618174800000.0,3,0.2302717,59610.72,-1,11210.413471106669
1618178400000.0,4,0.5033473,60101.68,0,11265.043733547865
1618182000000.0,4,0.4324573,60002.43,0,11265.043733547865
1618185600000.0,1,0.42379108,59830.28,1,11265.043733547865
1618189200000.0,3,0.41726896,59865.36,0,11168.083796488803
1618192800000.0,3,0.7449454,59694.25,0,11168.083796488803
1618196400000.0,3,0.4938797,60368.96,0,11168.083796488803
1618200000000.0,1,0.35879028,60126.54,1,11168.083796488803
1618203600000.0,2,0.66620576,60207.01,1,11033.542790285708
1618207200000.0,0,0.49337792,60826.66,1,11078.202945261219
1618210800000.0,0,0.4818499,60711.01,1,11422.103343304898
1618214400000.0,0,0.47075054,60694.42,1,11357.918592181275
1618218000000.0,0,0.44447953,59992.22,1,11348.711285470155
1618221600000.0,0,0.47165495,59776.71,1,10958.99635041606
1618225200000.0,0,0.46116677,60241.5,1,10839.390161789588
1618228800000.0,3,0.34671682,60421.84,0,11097.344597368901
1618232400000.0,0,0.31095833,60304.69,0,11097.344597368901
1618236000000.0,0,0.3085572,59888.44,0,11097.344597368901
1618239600000.0,0,0.4203311,59986.83,0,11097.344597368901
1618243200000.0,3,0.3334968,59972.5,0,11097.344597368901
1618246800000.0,3,0.39798033,59749.4,0,11097.344597368901
1618250400000.0,3,0.27892143,59988.95,0,11097.344597368901
1618254000000.0,0,0.3599591,60090.41,0,11097.344597368901
1618257600000.0,0,0.33418304,60049.92,0,11097.344597368901
1618261200000.0,0,0.30151552,59992.53,0,11097.344597368901
1618264800000.0,2,0.37822315,60044.75,-1,11097.344597368901
1618268400000.0,0,0.37383777,59860.0,-1,11068.365822767732
1618272000000.0,0,0.349463,60452.35,-1,11170.890307784312
1618275600000.0,1,0.3884856,60641.13,-1,10842.173778963901
1618279200000.0,3,0.30549577,60829.01,-1,10737.412900579979
1618282800000.0,0,0.39722025,60493.43,-1,10633.151464883547
1618286400000.0,3,0.3783128,60585.4,-1,10819.376994961296
1618290000000.0,1,0.28438133,60668.74,-1,10768.33950166238
1618293600000.0,1,0.27229178,60719.86,-1,10722.091108800234
1618297200000.0,3,0.41431752,61050.99,-1,10693.722764150449
1618300800000.0,3,0.27555093,62711.51,0,10509.96670069421
1618304400000.0,1,0.2828526,62924.24,1,10509.96670069421
1618308000000.0,4,0.50263375,62745.56,1,10616.922435753308
1618311600000.0,4,0.25270665,62942.21,1,10527.086254959062
1618315200000.0,0,0.52445996,62973.25,1,10625.95733707899
